Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 3043,Galaxy,13.4,45800.0,Ursa Major,09h56m,+59°18',,"From Madrid: NGC3043 will become visible around 22:12 (CEST), 71° above your northern horizon, as dusk fades to darkness. It will then sink towards the horizon, becoming tricky to observe after 05:52 when it dips 21° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115746_b57f48e0478e.png
NGC 3044,Galaxy,11.9,20850.0,Sextans,09h53m,+01°34',,"From Madrid: NGC3044 will become visible around 22:12 (CEST), 51° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:06.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115800_ada96ad5dbad.png
NGC 3045,Galaxy,13.8,39400.0,Hydra,09h53m,-18°38',,"From Madrid: NGC3045 will become visible around 22:12 (CEST), 30° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:54.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_698cf967c5ba.png
NGC 3046,Duplicate,–,45550.0,Antlia,09h53m,-27°17',,"From Madrid: NGC3046 is visible from soon after it rises, at 17:38, until soon before it sets at 02:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_9bba1edb7f0f.png
NGC 3047,Galaxy,14.9,92500.0,Sextans,09h54m,-01°17',,"From Madrid: NGC3047 will become visible around 22:12 (CEST), 48° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:57.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_fd96f0b7dade.png
NGC 3048,Galaxy,16.7,–,Leo,09h54m,+16°27',,"From Madrid: NGC3048 will become visible around 22:12 (CEST), 65° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:00.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115712_93eec8f74e41.png
NGC 3049,Galaxy,13.5,19900.0,Leo,09h54m,+09°16',Mrk 710,"From Madrid: NGC3049 will become visible around 22:12 (CEST), 58° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:34.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_5303fcaeccd4.png
NGC 3050,Duplicate,–,66700.0,Sextans,09h43m,-10°22',,"From Madrid: NGC3050 is visible from soon after it rises, at 16:20, until soon before it sets at 03:14.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_04e903cd002a.png
NGC 3051,Galaxy,15.0,45550.0,Antlia,09h53m,-27°17',,"From Madrid: NGC3051 will become visible around 22:12 (CEST), 22° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115730_481a1ff900b8.png
NGC 3052,Galaxy,12.4,43400.0,Hydra,09h54m,-18°38',,"From Madrid: NGC3052 will become visible around 22:12 (CEST), 30° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:55.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115756_f875f04c4a3a.png
NGC 3053,Galaxy,13.6,56700.0,Leo,09h55m,+16°25',,"From Madrid: NGC3053 will become visible around 22:12 (CEST), 65° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:01.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_ff83f52c69e1.png
NGC 3054,Galaxy,11.5,–,Hydra,09h54m,-25°42',,"From Madrid: NGC3054 will become visible around 22:12 (CEST), 23° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:25.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115805_297b3ea0bba1.png
NGC 3055,Galaxy,12.1,25400.0,Sextans,09h55m,+04°16',,"From Madrid: NGC3055 will become visible around 22:12 (CEST), 53° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115759_b2d1ce8e7570.png
NGC 3056,Galaxy,11.7,11850.0,Antlia,09h54m,-28°17',,From Madrid: NGC3056 is not readily observable since it lies so far south that it will never rise more than 21° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115803_8a9f5ac17223.png
NGC 3057,Galaxy,13.1,–,Draco,10h05m,+80°17',,From Madrid: NGC3057 is very well placed – it is close enough to the north celestial pole that it is high above the horizon all night.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115749_9c4b371d0d17.png
NGC 3058,Galaxy,14.6,–,Hydra,09h53m,-12°28',,"From Madrid: NGC3058 will become visible around 22:12 (CEST), 36° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_34c9c12f877b.png
NGC 3059,Galaxy,11.3,14800.0,Carina,09h50m,-73°55',,From Madrid: NGC3059 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115807_dc17512b814c.png
NGC 3060,Galaxy,13.8,57250.0,Leo,09h56m,+16°49',,"From Madrid: NGC3060 will become visible around 22:12 (CEST), 66° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:03.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_443029b065e4.png
NGC 3061,Galaxy,13.5,55100.0,Draco,09h56m,+75°51',,From Madrid: NGC3061 is very well placed – it is close enough to the north celestial pole that it is high above the horizon all night.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_770710d98cd9.png
NGC 3062,Galaxy,15.2,–,Sextans,09h56m,+01°25',,"From Madrid: NGC3062 will become visible around 22:12 (CEST), 50° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:08.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_1fac409659c3.png
NGC 3063,Double star,–,–,Ursa Major,10h01m,+72°07',,"From Madrid: NGC3063 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 58° above your northern horizon. It will be lost to dawn twilight around 06:12, 29° above your northern horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_45d372680f17.png
NGC 3064,Galaxy,15.0,–,Sextans,09h55m,-06°21',,"From Madrid: NGC3064 will become visible around 22:12 (CEST), 43° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:41.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115730_49d8ab162a59.png
NGC 3065,Galaxy,13.1,–,Ursa Major,10h01m,+72°10',,"From Madrid: NGC3065 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 58° above your northern horizon. It will be lost to dawn twilight around 06:12, 29° above your northern horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_c5477799c256.png
NGC 3066,Galaxy,12.8,41100.0,Ursa Major,10h02m,+72°07',Mrk 133,"From Madrid: NGC3066 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 58° above your northern horizon. It will be lost to dawn twilight around 06:12, 29° above your northern horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115752_43474c4e2a97.png
NGC 3067,Galaxy,12.1,20650.0,Leo,09h58m,+32°22',,"From Madrid: NGC3067 will become visible around 22:12 (CEST), 81° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115758_204fd7a7a2ae.png
NGC 3068,Galaxy,14.3,–,Leo,09h58m,+28°52',Arp 174,"From Madrid: NGC3068 will become visible around 22:12 (CEST), 78° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:59.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_d4f6f247d371.png
NGC 3069,Galaxy,15.0,–,Leo,09h57m,+10°25',,"From Madrid: NGC3069 will become visible around 22:12 (CEST), 59° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:41.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115729_0650b07d6357.png
NGC 3070,Galaxy,12.3,–,Leo,09h58m,+10°21',,"From Madrid: NGC3070 will become visible around 22:12 (CEST), 59° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:41.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115757_f0f9670bfb02.png
NGC 3071,Galaxy,15.3,97900.0,Leo,09h58m,+31°37',,"From Madrid: NGC3071 will become visible around 22:12 (CEST), 81° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:13.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_a4f243a7f8ae.png
NGC 3072,Galaxy,13.8,41100.0,Hydra,09h57m,-19°21',,"From Madrid: NGC3072 will become visible around 22:12 (CEST), 30° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:55.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_b5b5ff558fc3.png
NGC 3073,Galaxy,13.8,26050.0,Ursa Major,10h00m,+55°37',Mrk 131,"From Madrid: NGC3073 will become visible around 22:12 (CEST), 74° above your northern horizon, as dusk fades to darkness. It will then sink towards the horizon, becoming tricky to observe after 05:32 when it dips 21° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_8b5663675a8e.png
NGC 3074,Galaxy,12.8,–,Leo Minor,09h59m,+35°23',,"From Madrid: NGC3074 will become visible around 22:12 (CEST), 84° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:37.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115751_0c4af07ec249.png
NGC 3075,Galaxy,14.4,–,Leo,09h58m,+14°25',,"From Madrid: NGC3075 will become visible around 22:12 (CEST), 63° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:57.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_8de23cf06384.png
